country,rate
AUS,-1.2799999999999998
AUT,-0.8500000000000001
BEL,-0.53
CAN,-0.8300000000000001
CZE,-0.19999999999999996
DNK,-0.28
FIN,-0.45999999999999996
FRA,-0.69
DEU,-0.4999999999999998
GRC,-1.1199999999999999
HUN,-0.44999999999999996
ISL,-1.09
IRL,-2.24
ITA,-1.18
JPN,-0.7999999999999998
KOR,-3.6900000000000004
LUX,-0.6099999999999999
MEX,-4.75
NLD,-1.0199999999999998
NZL,-1.5599999999999998
NOR,-1.02
POL,-0.8200000000000003
PRT,-1.4300000000000002
SVK,-0.8699999999999999
ESP,-1.5399999999999998
SWE,-0.28
CHE,-0.6400000000000001
TUR,-3.24
GBR,-0.8700000000000001
USA,-0.8400000000000001
BRA,-3.26
CHL,-2.17
CHN,-4.03
EST,-0.5899999999999999
IND,-3.4099999999999997
IDN,-3.1999999999999997
ISR,-1.0700000000000003
RUS,-0.15999999999999992
SVN,-0.6099999999999999
ZAF,-3.31
COL,-3.5100000000000002
LVA,-0.28
LTU,-0.71
ARG,-0.8500000000000001
BGR,-0.5799999999999998
HRV,-0.41000000000000014
SAU,-5.04
OAVG,-1.2499999999999998
PER,-4.11
CRI,-2.88
