country,year,fertility_rate
AUS,1970,2.86
AUS,2020,1.58
AUT,1970,2.29
AUT,2020,1.44
BEL,1970,2.25
BEL,2020,1.72
CAN,1970,2.33
CAN,2020,1.5
CZE,1970,1.91
CZE,2020,1.71
DNK,1970,1.95
DNK,2020,1.67
FIN,1970,1.83
FIN,2020,1.37
FRA,1970,2.48
FRA,2020,1.79
DEU,1970,2.03
DEU,2020,1.53
GRC,1970,2.4
GRC,2020,1.28
HUN,1970,1.97
HUN,2020,1.52
ISL,1970,2.81
ISL,2020,1.72
IRL,1970,3.87
IRL,2020,1.63
ITA,1970,2.42
ITA,2020,1.24
JPN,1970,2.13
JPN,2020,1.33
KOR,1970,4.53
KOR,2020,0.84
LUX,1970,1.98
LUX,2020,1.37
MEX,1970,6.83
MEX,2020,2.08
NLD,1970,2.57
NLD,2020,1.55
NZL,1970,3.17
NZL,2020,1.61
NOR,1970,2.5
NOR,2020,1.48
POL,1970,2.2
POL,2020,1.38
PRT,1970,2.83
PRT,2020,1.4
SVK,1970,2.4
SVK,2020,1.53
ESP,1970,2.9
ESP,2020,1.36
SWE,1970,1.94
SWE,2020,1.66
CHE,1970,2.1
CHE,2020,1.46
TUR,1970,5
TUR,2020,1.76
GBR,1970,2.43
GBR,2020,1.56
USA,1970,2.48
USA,2020,1.64
BRA,1970,4.97
BRA,2020,1.71
CHL,1970,3.78
CHL,2020,1.61
CHN,1970,5.73
CHN,2020,1.7
EST,1970,2.17
EST,2020,1.58
IND,1970,5.59
IND,2020,2.18
IDN,1970,5.47
IDN,2020,2.27
ISR,1970,3.97
ISR,2020,2.9
RUS,1970,1.99
RUS,2020,1.83
SVN,1970,2.21
SVN,2020,1.6
ZAF,1970,5.67
ZAF,2020,2.36
COL,1970,5.28
COL,2020,1.77
LVA,1970,2.02
LVA,2020,1.74
LTU,1970,2.4
LTU,2020,1.69
ARG,1970,3.08
ARG,2020,2.23
BGR,1970,2.17
BGR,2020,1.59
HRV,1970,1.83
HRV,2020,1.42
CYP,2020,1.31
MLT,2020,1.48
ROU,2020,1.64
SAU,1970,7.28
SAU,2020,2.24
OAVG,1970,2.84
OAVG,2020,1.59
PER,1970,6.32
PER,2020,2.21
CRI,1970,4.6
CRI,2020,1.72
EU,1970,2.37
