country,year,percent_of_gdp
AUS,2001,4.3395875852933
AUS,2002,4.3180471274228
AUS,2003,4.1449011186576
AUS,2004,3.5618047016709
AUS,2005,3.5816710320454
AUS,2006,3.7799336815579
AUS,2007,3.2562296093473
AUS,2008,5.5545735462247
AUS,2009,4.6394381619964
AUS,2010,4.4819701924238
AUS,2011,4.509488861541
AUS,2012,4.7464457205577
AUS,2013,5.020243208
AUS,2014,5.312313789419
AUS,2015,5.9189231263553
AUS,2016,6.0052373256322
AUS,2017,6.8201554953299
AUS,2018,5.8526605289195
AUS,2019,5.7580351107196
AUS,2020,6.8523330412626
AUS,1980,3.592
AUS,1981,3.554
AUS,1982,3.674
AUS,1983,3.626
AUS,1984,3.559
AUS,1985,3.398
AUS,1986,3.29
AUS,1987,3.24
AUS,1988,2.892
AUS,1989,2.843
AUS,1990,3.08
AUS,1991,3.202
AUS,1992,3.203
AUS,1993,3.301
AUS,1994,3.164
AUS,1995,4.344
AUS,1996,4.378
AUS,1997,4.276
AUS,1998,4.361
AUS,1999,4.015
AUS,2000,4.678
AUS,2001,4.078
AUS,2002,3.939
AUS,2003,3.85
AUS,2004,3.891
AUS,2005,3.743
AUS,2006,3.695
AUS,2007,3.861
AUS,2008,3.936
AUS,2009,3.806
AUS,2010,3.76
AUS,2011,3.863
AUS,2012,3.919
AUS,2013,4.094
AUS,2014,4.241
AUS,2015,4.324
AUS,2016,4.181
AUS,2017,3.993
CAN,2000,2.0142414337293
CAN,2001,2.1851516282044
CAN,2002,2.1804641725601
CAN,2003,2.1870552390243
CAN,2004,2.2790344762531
CAN,2005,2.0925407466288
CAN,2006,2.2616784399881
CAN,2007,2.3188124698525
CAN,2008,2.3272731332538
CAN,2009,2.6571123643987
CAN,2010,2.9494948524892
CAN,2011,2.9325367813883
CAN,2012,3.0970867463404
CAN,2013,3.1628384747091
CAN,2014,3.2818720556139
CAN,2015,3.7090775360837
CAN,2016,3.7547610878114
CAN,2017,4.4873941964113
CAN,2018,4.391914907349
CAN,2019,4.3207461596253
CAN,2020,4.8519550728943
CAN,1980,3.106
CAN,1981,3.262
CAN,1982,3.526
CAN,1983,3.602
CAN,1984,3.691
CAN,1985,3.806
CAN,1986,3.909
CAN,1987,3.973
CAN,1988,3.953
CAN,1989,4.015
CAN,1990,4.2
CAN,1991,4.502
CAN,1992,4.667
CAN,1993,4.705
CAN,1994,4.637
CAN,1995,4.611
CAN,1996,4.615
CAN,1997,4.576
CAN,1998,4.52
CAN,1999,4.329
CAN,2000,4.172
CAN,2001,4.222
CAN,2002,4.169
CAN,2003,4.147
CAN,2004,4.075
CAN,2005,4.011
CAN,2006,3.994
CAN,2007,4
CAN,2008,4.107
CAN,2009,4.43
CAN,2010,4.285
CAN,2011,4.284
CAN,2012,4.448
CAN,2013,4.459
CAN,2014,4.529
CAN,2015,4.712
CAN,2016,4.825
CAN,2017,4.807
CAN,2018,4.868
FRA,2009,0.34909745912823
FRA,2010,0.36841780814709
FRA,2011,0.34153254348467
FRA,2012,0.32769948736215
FRA,2013,0.40733255273856
FRA,2014,0.2779985927299
FRA,2015,0.28643979945707
FRA,2016,0.38585823814956
FRA,2017,0.3975405720645
FRA,2018,0.44827382248664
FRA,2019,0.79404832963097
FRA,1980,9.25
FRA,1981,9.511
FRA,1982,9.713
FRA,1983,9.883
FRA,1984,10.108
FRA,1985,10.298
FRA,1986,10.271
FRA,1987,10.288
FRA,1988,10.364
FRA,1989,9.845
FRA,1990,10.42
FRA,1991,10.69
FRA,1992,11.012
FRA,1993,11.5
FRA,1994,11.625
FRA,1995,11.801
FRA,1996,11.934
FRA,1997,11.916
FRA,1998,11.777
FRA,1999,11.774
FRA,2000,11.482
FRA,2001,11.476
FRA,2002,11.622
FRA,2003,11.79
FRA,2004,11.84
FRA,2005,12.021
FRA,2006,11.797
FRA,2007,11.889
FRA,2008,12.179
FRA,2009,13.093
FRA,2010,13.18
FRA,2011,13.299
FRA,2012,13.566
FRA,2013,13.796
FRA,2014,13.87
FRA,2015,13.798
FRA,2016,13.803
FRA,2017,13.641
FRA,2018,13.596
DEU,1995,0.09218951013011
DEU,1996,0.09145034058566
DEU,1997,0.09802879545621
DEU,1998,0.10295215174674
DEU,1999,0.11336451292247
DEU,2000,0.11787282424242
DEU,2001,0.11969597797969
DEU,2002,0.12577629974706
DEU,2003,0.13098396162003
DEU,2004,0.13366277425172
DEU,2005,0.13609436658495
DEU,2006,0.13747966525232
DEU,2007,0.14234958292493
DEU,2008,0.1440724291083
DEU,2009,0.27521260842366
DEU,2010,0.18980019084386
DEU,2011,0.19031564294094
DEU,2012,0.19651901923644
DEU,2013,0.20086017703239
DEU,2014,0.21832011265854
DEU,2015,0.2126459761151
DEU,2016,0.21937194153263
DEU,2017,0.21892989630137
DEU,2018,0.24311075876076
DEU,2019,0.3255560194049
DEU,2020,0.25166262813432
DEU,1980,10.385
DEU,1981,10.409
DEU,1982,10.54
DEU,1983,10.475
DEU,1984,10.405
DEU,1985,10.288
DEU,1986,10.147
DEU,1987,10.306
DEU,1988,10.209
DEU,1989,9.92
DEU,1990,9.468
DEU,1991,9.141
DEU,1992,9.502
DEU,1993,9.829
DEU,1994,10.054
DEU,1995,10.336
DEU,1996,10.527
DEU,1997,10.66
DEU,1998,10.755
DEU,1999,10.78
DEU,2000,10.883
DEU,2001,10.93
DEU,2002,11.161
DEU,2003,11.34
DEU,2004,11.204
DEU,2005,11.173
DEU,2006,10.785
DEU,2007,10.373
DEU,2008,10.348
DEU,2009,11.046
DEU,2010,10.713
DEU,2011,10.27
DEU,2012,10.265
DEU,2013,10.173
DEU,2014,10.076
DEU,2015,10.147
DEU,2016,10.188
DEU,2017,10.202
ITA,2001,0.18205735778639
ITA,2002,0.15656404856876
ITA,2003,0.23741924030317
ITA,2004,0.2129951788288
ITA,2005,0.19109207773477
ITA,2006,0.23617575763251
ITA,2007,0.20673209508151
ITA,2008,0.28075155398298
ITA,2009,0.23459980594072
ITA,2010,0.24488713784028
ITA,2011,0.2293826610472
ITA,2012,0.27361093891208
ITA,2013,0.3056063262823
ITA,2014,0.29066017715559
ITA,2015,0.3557999341531
ITA,2016,0.33990133665388
ITA,2017,0.36450686654926
ITA,2018,0.40398039804364
ITA,2019,0.3996454378884
ITA,2020,0.39834223271094
ITA,1980,8.536
ITA,1981,9.426
ITA,1982,9.812
ITA,1983,10.516
ITA,1984,10.376
ITA,1985,10.737
ITA,1986,10.991
ITA,1987,10.986
ITA,1988,10.953
ITA,1989,11.128
ITA,1990,11.336
ITA,1991,11.64
ITA,1992,12.415
ITA,1993,12.811
ITA,1994,13.131
ITA,1995,13.05
ITA,1996,13.344
ITA,1997,13.754
ITA,1998,13.564
ITA,1999,13.761
ITA,2000,13.465
ITA,2001,13.296
ITA,2002,13.418
ITA,2003,13.537
ITA,2004,13.58
ITA,2005,13.665
ITA,2006,13.648
ITA,2007,13.771
ITA,2008,14.198
ITA,2009,15.208
ITA,2010,15.377
ITA,2011,15.377
ITA,2012,15.794
ITA,2013,16.24
ITA,2014,16.154
ITA,2015,16.159
ITA,2016,15.781
ITA,2017,15.64
JPN,1980,3.73
JPN,1981,4.019
JPN,1982,4.244
JPN,1983,4.365
JPN,1984,4.416
JPN,1985,4.549
JPN,1986,4.808
JPN,1987,4.856
JPN,1988,4.764
JPN,1989,4.753
JPN,1990,4.718
JPN,1991,4.752
JPN,1992,4.999
JPN,1993,5.282
JPN,1994,5.561
JPN,1995,5.873
JPN,1996,5.978
JPN,1997,6.164
JPN,1998,6.561
JPN,1999,6.85
JPN,2000,7.002
JPN,2001,7.291
JPN,2002,7.587
JPN,2003,7.773
JPN,2004,7.931
JPN,2005,8.084
JPN,2006,8.202
JPN,2007,8.35
JPN,2008,8.826
JPN,2009,9.605
JPN,2010,9.605
JPN,2011,9.715
JPN,2012,9.781
JPN,2013,9.726
JPN,2014,9.46
JPN,2015,9.391
JPN,2016,9.375
JPN,2017,9.358
KOR,2002,0.84777220900697
KOR,2003,0.86162288930156
KOR,2004,0.52122624635551
KOR,2005,0.65453620465315
KOR,2006,0.76455031563561
KOR,2007,0.82739903641475
KOR,2008,0.68162334065554
KOR,2009,0.96464074915528
KOR,2010,1.2759688379674
KOR,2011,1.2275645003964
KOR,2012,1.6126055248226
KOR,2013,2.2161378409963
KOR,2014,2.750426078886
KOR,2015,3.0477395609152
KOR,2016,3.1427998106136
KOR,2017,3.1423883784964
KOR,2018,3.504869185561
KOR,2020,3.8766282655547
KOR,1990,0.728
KOR,1991,0.784
KOR,1992,0.906
KOR,1993,0.996
KOR,1994,1.04
KOR,1995,1.13
KOR,1996,1.101
KOR,1997,1.162
KOR,1998,1.82
KOR,1999,2.347
KOR,2000,1.312
KOR,2001,1.093
KOR,2002,1.078
KOR,2003,1.216
KOR,2004,1.278
KOR,2005,1.408
KOR,2006,1.478
KOR,2007,1.539
KOR,2008,1.826
KOR,2009,1.928
KOR,2010,1.967
KOR,2011,2.019
KOR,2012,2.213
KOR,2013,2.257
KOR,2014,2.52
KOR,2015,2.75
KOR,2016,2.771
KOR,2017,2.846
KOR,2018,2.999
GBR,2001,2.55197101131
GBR,2002,2.6276637216872
GBR,2003,2.5688033956701
GBR,2004,2.5149169727483
GBR,2005,2.6475228960014
GBR,2006,2.7149985823261
GBR,2007,2.5302619196228
GBR,2008,2.5876839457886
GBR,2009,2.8708186498919
GBR,2010,3.0058647830952
GBR,2011,2.9408345435719
GBR,2012,3.0029151112591
GBR,2013,3.0257771566715
GBR,2014,2.7701437674986
GBR,2015,2.7942203776644
GBR,2016,2.7370367251012
GBR,2017,2.7005104997832
GBR,2019,2.8614109470386
GBR,2020,3.0581821642498
GBR,1980,5.253
GBR,1981,5.536
GBR,1982,5.601
GBR,1983,5.515
GBR,1984,5.404
GBR,1985,5.279
GBR,1986,5.248
GBR,1987,4.941
GBR,1988,4.537
GBR,1989,4.311
GBR,1990,4.473
GBR,1991,4.846
GBR,1992,5.122
GBR,1993,5.186
GBR,1994,4.951
GBR,1995,4.624
GBR,1996,4.625
GBR,1997,4.613
GBR,1998,4.62
GBR,1999,4.737
GBR,2000,4.764
GBR,2001,4.916
GBR,2002,4.909
GBR,2003,4.906
GBR,2004,4.999
GBR,2005,5.01
GBR,2006,4.757
GBR,2007,5.331
GBR,2008,5.715
GBR,2009,6.18
GBR,2010,6.199
GBR,2011,6.223
GBR,2012,6.364
GBR,2013,6.28
GBR,2014,6.238
GBR,2015,6.144
GBR,2016,5.73
GBR,2017,5.629
USA,1985,4.0759641791045
USA,1986,4.599498611017
USA,1987,4.2758554688331
USA,1988,4.0256916605778
USA,1989,4.1002627855266
USA,1990,3.9558465920934
USA,1991,4.0622509206477
USA,1992,4.2181236877267
USA,1993,4.2076828732795
USA,1994,4.1907089419309
USA,1995,4.4155646050965
USA,1996,4.684565141775
USA,1997,4.7971009223236
USA,1998,5.1421917051963
USA,1999,5.4392265792843
USA,2000,6.6472738816975
USA,2001,6.0458164102216
USA,2002,6.0809537246773
USA,2003,5.7131659458209
USA,2004,5.978057485531
USA,2005,5.7761072250078
USA,2006,6.1580535544537
USA,2007,6.4959872125823
USA,2008,6.7301238156457
USA,2009,6.4665262289503
USA,2010,7.2405486887142
USA,2011,6.8202073484472
USA,2012,7.3751889538371
USA,2013,7.7760954631176
USA,2014,7.8775320874904
USA,2015,7.9931075556699
USA,2016,7.8540287495562
USA,2017,8.0703153238643
USA,2018,8.2531781431615
USA,2019,6.5662913353192
USA,2020,7.056776702464
USA,1980,5.967
USA,1981,6.237
USA,1982,6.561
USA,1983,6.49
USA,1984,6.211
USA,1985,6.027
USA,1986,6.035
USA,1987,5.949
USA,1988,5.916
USA,1989,5.827
USA,1990,5.841
USA,1991,6.073
USA,1992,6.106
USA,1993,6.112
USA,1994,6.057
USA,1995,6.043
USA,1996,5.958
USA,1997,5.93
USA,1998,5.82
USA,1999,5.683
USA,2000,5.653
USA,2001,5.727
USA,2002,5.857
USA,2003,5.864
USA,2004,5.802
USA,2005,5.742
USA,2006,5.716
USA,2007,5.784
USA,2008,5.951
USA,2009,6.515
USA,2010,6.613
USA,2011,6.71
USA,2012,6.754
USA,2013,6.902
USA,2014,6.957
USA,2015,7.013
USA,2016,7.129
USA,2017,7.077
USA,2018,7.023
RUS,2005,0.06824737776357
RUS,2006,0.04317271231904
RUS,2011,0.060404017367
RUS,2013,0.10281466095413
RUS,2015,0.10292507648572
RUS,2016,0.1046845495415
RUS,2017,0.10365508823734
RUS,2018,0.09290078627759
RUS,2019,0.1035087418761
RUS,2020,0.1129332507836
JPN,2001,0.4465877143006
JPN,2002,0.4968428651154
JPN,2003,0.41311082381654
JPN,2004,0.30319631115096
JPN,2005,0.22760215850953
JPN,2014,0.08479928143389
