country,year,fertility_rate
ARG,1970,3.1
ARG,1990,3.0
ARG,2020,2.2
AUS,1970,2.9
AUS,1990,1.9
AUS,2020,1.6
AUT,1970,2.3
AUT,1990,1.5
AUT,2020,1.4
BEL,1970,2.3
BEL,1990,1.6
BEL,2020,1.7
BGR,1970,2.2
BGR,1990,1.8
BGR,2020,1.6
BRA,1970,5.0
BRA,1990,2.9
BRA,2020,1.7
CAN,1970,2.3
CAN,1990,1.7
CAN,2020,1.5
CHE,1970,2.1
CHE,1990,1.6
CHE,2020,1.5
CHL,1970,3.8
CHL,1990,2.6
CHL,2020,1.6
CHN,1970,5.7
CHN,1990,2.3
CHN,2020,1.7
COL,1970,5.3
COL,1990,3.1
COL,2020,1.8
CRI,1970,4.6
CRI,1990,3.3
CRI,2020,1.7
CYP,1990,2.4
CYP,2020,1.3
CZE,1970,1.9
CZE,1990,1.9
CZE,2020,1.7
DEU,1970,2.0
DEU,1990,1.5
DEU,2020,1.5
DNK,1970,2.0
DNK,1990,1.7
DNK,2020,1.7
ESP,1970,2.9
ESP,1990,1.4
ESP,2020,1.4
EST,1970,2.2
EST,1990,2.1
EST,2020,1.6
EU,1970,2.4
EU,1990,1.8
FIN,1970,1.8
FIN,1990,1.8
FIN,2020,1.4
FRA,1970,2.5
FRA,1990,1.8
FRA,2020,1.8
GBR,1970,2.4
GBR,1990,1.8
GBR,2020,1.6
GRC,1970,2.4
GRC,1990,1.4
GRC,2020,1.3
HRV,1970,1.8
HRV,1990,1.7
HRV,2020,1.4
HUN,1970,2.0
HUN,1990,1.8
HUN,2020,1.5
IDN,1970,5.5
IDN,1990,3.1
IDN,2020,2.3
IND,1970,5.6
IND,1990,4.1
IND,2020,2.2
IRL,1970,3.9
IRL,1990,2.1
IRL,2020,1.6
ISL,1970,2.8
ISL,1990,2.3
ISL,2020,1.7
ISR,1970,4.0
ISR,1990,3.0
ISR,2020,2.9
ITA,1970,2.4
ITA,1990,1.4
ITA,2020,1.2
JPN,1970,2.1
JPN,1990,1.5
JPN,2020,1.3
KOR,1970,4.5
KOR,1990,1.6
KOR,2020,0.8
LTU,1970,2.4
LTU,1990,2.0
LTU,2020,1.7
LUX,1970,2.0
LUX,1990,1.6
LUX,2020,1.4
LVA,1970,2.0
LVA,1990,2.0
LVA,2020,1.7
MEX,1970,6.8
MEX,1990,3.5
MEX,2020,2.1
MLT,1990,2.1
MLT,2020,1.5
NLD,1970,2.6
NLD,1990,1.6
NLD,2020,1.6
NOR,1970,2.5
NOR,1990,1.9
NOR,2020,1.5
NZL,1970,3.2
NZL,1990,2.2
NZL,2020,1.6
OAVG,1970,2.8
OAVG,1990,2.0
OAVG,2020,1.6
PER,1970,6.3
PER,1990,3.9
PER,2020,2.2
POL,1970,2.2
POL,1990,2.0
POL,2020,1.4
PRT,1970,2.8
PRT,1990,1.6
PRT,2020,1.4
ROU,1990,1.8
ROU,2020,1.6
RUS,1970,2.0
RUS,1990,1.9
RUS,2020,1.8
SAU,1970,7.3
SAU,1990,5.9
SAU,2020,2.2
SVK,1970,2.4
SVK,1990,2.1
SVK,2020,1.5
SVN,1970,2.2
SVN,1990,1.5
SVN,2020,1.6
SWE,1970,1.9
SWE,1990,2.1
SWE,2020,1.7
TUR,1970,5.0
TUR,1990,3.1
TUR,2020,1.8
USA,1970,2.5
USA,1990,2.1
USA,2020,1.6
ZAF,1970,5.7
ZAF,1990,4.0
ZAF,2020,2.4
