country,year,percent_of_gdp
CAN,1980,3.106
CAN,1981,3.262
CAN,1982,3.526
CAN,1983,3.602
CAN,1984,3.691
CAN,1985,3.806
CAN,1986,3.909
CAN,1987,3.973
CAN,1988,3.953
CAN,1989,4.015
CAN,1990,4.2
CAN,1991,4.502
CAN,1992,4.667
CAN,1993,4.705
CAN,1994,4.637
CAN,1995,4.611
CAN,1996,4.615
CAN,1997,4.576
CAN,1998,4.52
CAN,1999,4.329
CAN,2000,4.172
CAN,2001,4.222
CAN,2002,4.169
CAN,2003,4.147
CAN,2004,4.075
CAN,2005,4.011
CAN,2006,3.994
CAN,2007,4.0
CAN,2008,4.107
CAN,2009,4.43
CAN,2010,4.285
CAN,2011,4.284
CAN,2012,4.448
CAN,2013,4.459
CAN,2014,4.529
CAN,2015,4.712
CAN,2016,4.825
CAN,2017,4.807
FRA,1980,9.25
FRA,1981,9.511
FRA,1982,9.713
FRA,1983,9.883
FRA,1984,10.108
FRA,1985,10.298
FRA,1986,10.271
FRA,1987,10.288
FRA,1988,10.364
FRA,1989,9.845
FRA,1990,10.42
FRA,1991,10.69
FRA,1992,11.012
FRA,1993,11.5
FRA,1994,11.625
FRA,1995,11.801
FRA,1996,11.934
FRA,1997,11.916
FRA,1998,11.777
FRA,1999,11.774
FRA,2000,11.482
FRA,2001,11.476
FRA,2002,11.622
FRA,2003,11.79
FRA,2004,11.84
FRA,2005,12.021
FRA,2006,11.797
FRA,2007,11.889
FRA,2008,12.179
FRA,2009,13.093
FRA,2010,13.18
FRA,2011,13.299
FRA,2012,13.566
FRA,2013,13.796
FRA,2014,13.87
FRA,2015,13.798
FRA,2016,13.803
FRA,2017,13.641
GER,1980,10.385
GER,1981,10.409
GER,1982,10.54
GER,1983,10.475
GER,1984,10.405
GER,1985,10.288
GER,1986,10.147
GER,1987,10.306
GER,1988,10.209
GER,1989,9.92
GER,1990,9.468
GER,1991,9.141
GER,1992,9.502
GER,1993,9.829
GER,1994,10.054
GER,1995,10.336
GER,1996,10.527
GER,1997,10.66
GER,1998,10.755
GER,1999,10.78
GER,2000,10.883
GER,2001,10.93
GER,2002,11.161
GER,2003,11.34
GER,2004,11.204
GER,2005,11.173
GER,2006,10.785
GER,2007,10.373
GER,2008,10.348
GER,2009,11.046
GER,2010,10.713
GER,2011,10.27
GER,2012,10.265
GER,2013,10.173
GER,2014,10.076
GER,2015,10.147
GER,2016,10.188
GER,2017,10.202
ITA,1980,8.536
ITA,1981,9.426
ITA,1982,9.812
ITA,1983,10.516
ITA,1984,10.376
ITA,1985,10.737
ITA,1986,10.991
ITA,1987,10.986
ITA,1988,10.953
ITA,1989,11.128
ITA,1990,11.336
ITA,1991,11.64
ITA,1992,12.415
ITA,1993,12.811
ITA,1994,13.131
ITA,1995,13.05
ITA,1996,13.344
ITA,1997,13.754
ITA,1998,13.564
ITA,1999,13.761
ITA,2000,13.465
ITA,2001,13.296
ITA,2002,13.418
ITA,2003,13.537
ITA,2004,13.58
ITA,2005,13.665
ITA,2006,13.648
ITA,2007,13.771
ITA,2008,14.198
ITA,2009,15.208
ITA,2010,15.377
ITA,2011,15.377
ITA,2012,15.794
ITA,2013,16.24
ITA,2014,16.154
ITA,2015,16.159
ITA,2016,15.781
ITA,2017,15.64
JPN,1980,3.73
JPN,1981,4.019
JPN,1982,4.244
