country,year,percent_of_gdp
CAN,1990,4.2
CAN,1991,4.502
CAN,1992,4.667
CAN,1993,4.705
CAN,1994,4.637
CAN,1995,4.611
CAN,1996,4.615
CAN,1997,4.576
CAN,1998,4.52
CAN,1999,4.329
CAN,2000,4.172
CAN,2001,4.222
CAN,2002,4.169
CAN,2003,4.147
CAN,2004,4.075
CAN,2005,4.011
CAN,2006,3.994
CAN,2007,4.0
CAN,2008,4.107
CAN,2009,4.43
CAN,2010,4.285
CAN,2011,4.284
CAN,2012,4.448
CAN,2013,4.459
CAN,2014,4.529
CAN,2015,4.712
CAN,2016,4.825
CAN,2017,4.807
FRA,1990,10.42
FRA,1991,10.69
FRA,1992,11.012
FRA,1993,11.5
FRA,1994,11.625
FRA,1995,11.801
FRA,1996,11.934
FRA,1997,11.916
FRA,1998,11.777
FRA,1999,11.774
FRA,2000,11.482
FRA,2001,11.476
FRA,2002,11.622
FRA,2003,11.79
FRA,2004,11.84
FRA,2005,12.021
FRA,2006,11.797
FRA,2007,11.889
FRA,2008,12.179
FRA,2009,13.093
FRA,2010,13.18
FRA,2011,13.299
FRA,2012,13.566
FRA,2013,13.796
FRA,2014,13.87
FRA,2015,13.798
FRA,2016,13.803
FRA,2017,13.641
GER,1990,9.468
GER,1991,9.141
GER,1992,9.502
GER,1993,9.829
GER,1994,10.054
GER,1995,10.336
GER,1996,10.527
GER,1997,10.66
GER,1998,10.755
GER,1999,10.78
GER,2000,10.883
GER,2001,10.93
GER,2002,11.161
GER,2003,11.34
GER,2004,11.204
GER,2005,11.173
GER,2006,10.785
GER,2007,10.373
GER,2008,10.348
GER,2009,11.046
GER,2010,10.713
GER,2011,10.27
GER,2012,10.265
GER,2013,10.173
GER,2014,10.076
GER,2015,10.147
GER,2016,10.188
GER,2017,10.202
ITA,1990,11.336
ITA,1991,11.64
ITA,1992,12.415
ITA,1993,12.811
ITA,1994,13.131
ITA,1995,13.05
ITA,1996,13.344
ITA,1997,13.754
ITA,1998,13.564
ITA,1999,13.761
ITA,2000,13.465
ITA,2001,13.296
ITA,2002,13.418
ITA,2003,13.537
ITA,2004,13.58
ITA,2005,13.665
ITA,2006,13.648
ITA,2007,13.771
ITA,2008,14.198
ITA,2009,15.208
ITA,2010,15.377
ITA,2011,15.377
ITA,2012,15.794
ITA,2013,16.24
ITA,2014,16.154
ITA,2015,16.159
ITA,2016,15.781
ITA,2017,15.64
JPN,1990,4.718
JPN,1991,4.752
JPN,1992,4.999
JPN,1993,5.282
JPN,1994,5.561
JPN,1995,5.873
JPN,1996,5.978
JPN,1997,6.164
JPN,1998,6.561
JPN,1999,6.85
JPN,2000,7.002
JPN,2001,7.291
JPN,2002,7.587
JPN,2003,7.773
JPN,2004,7.931
JPN,2005,8.084
JPN,2006,8.202
JPN,2007,8.35
JPN,2008,8.826
JPN,2009,9.605
JPN,2010,9.605
JPN,2011,9.715
JPN,2012,9.781
JPN,2013,9.726
JPN,2014,9.46
JPN,2015,9.391
JPN,2016,9.375
JPN,2017,9.358
UK,1990,4.473
UK,1991,4.846
UK,1992,5.122
UK,1993,5.186
UK,1994,4.951
UK,1995,4.624
UK,1996,4.625
UK,1997,4.613
UK,1998,4.62
UK,1999,4.737
UK,2000,4.764
UK,2001,4.916
UK,2002,4.909
UK,2003,4.906
UK,2004,4.999
UK,2005,5.01
UK,2006,4.757
UK,2007,5.331
UK,2008,5.715
UK,2009,6.18
UK,2010,6.199
UK,2011,6.223
UK,2012,6.364
UK,2013,6.28
UK,2014,6.238
UK,2015,6.144
UK,2016,5.73
UK,2017,5.629
USA,1990,5.841
USA,1991,6.073
USA,1992,6.106
USA,1993,6.112
USA,1994,6.057
USA,1995,6.043
USA,1996,5.958
USA,1997,5.93
USA,1998,5.82
USA,1999,5.683
USA,2000,5.653
USA,2001,5.727
USA,2002,5.857
USA,2003,5.864
USA,2004,5.802
USA,2005,5.742
USA,2006,5.716
USA,2007,5.784
USA,2008,5.951
USA,2009,6.515
USA,2010,6.613
USA,2011,6.71
USA,2012,6.754
USA,2013,6.902
USA,2014,6.957
USA,2015,7.013
USA,2016,7.129
USA,2017,7.077


